"Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
2022-07-05 17:30:00,"Skokan V.","Brozik K.",3,1,12,10,12,14,11,6,11,5,NA,NA,1
2022-07-05 18:00:00,"Kratochvil M.","Biolek M.",0,3,6,11,8,11,5,11,NA,NA,NA,NA,0
2022-07-05 18:00:00,"Kutifel J.","Skokan V.",0,3,7,11,9,11,7,11,NA,NA,NA,NA,0
2022-07-05 18:00:00,"Pelikan L.","Nevrtal Z.",0,3,8,11,9,11,6,11,NA,NA,NA,NA,0
2022-07-05 18:00:00,"Pycha P.","Kliuchuk R.",2,3,11,5,11,6,6,11,4,11,5,11,0
2022-07-05 18:30:00,"Brozik K.","Jindrak L.",1,3,11,7,5,11,10,12,6,11,NA,NA,0
2022-07-05 18:30:00,"Janca M.","Dzida J.",3,1,11,4,10,12,11,4,11,3,NA,NA,1
2022-07-05 18:30:00,"Klapa V.","Kopecny M.",3,1,7,11,11,7,11,6,11,5,NA,NA,1
2022-07-05 18:30:00,"Urban M.","Korp Jr. P.",2,3,11,7,3,11,8,11,11,8,8,11,0
2022-07-05 19:00:00,"Dzida J.","Biolek M.",1,3,5,11,5,11,11,9,10,12,NA,NA,0
2022-07-05 19:00:00,"Jindrak L.","Skokan V.",3,0,11,8,11,8,11,6,NA,NA,NA,NA,1
2022-07-05 19:00:00,"Kopecny M.","Nevrtal Z.",0,3,10,12,5,11,11,13,NA,NA,NA,NA,0
2022-07-05 19:00:00,"Korp Jr. P.","Kliuchuk R.",3,2,9,11,11,4,11,8,9,11,11,6,1
2022-07-05 19:30:00,"Kratochvil M.","Janca M.",3,0,11,6,12,10,11,8,NA,NA,NA,NA,1
2022-07-05 19:30:00,"Kutifel J.","Brozik K.",3,1,6,11,13,11,11,9,11,7,NA,NA,1
2022-07-05 19:30:00,"Pelikan L.","Klapa V.",3,0,11,7,11,8,15,13,NA,NA,NA,NA,1
2022-07-05 19:30:00,"Pycha P.","Urban M.",0,3,9,11,10,12,6,11,NA,NA,NA,NA,0
2022-07-05 20:00:00,"Dzida J.","Janca M.",0,3,9,11,9,11,6,11,NA,NA,NA,NA,0
2022-07-05 20:00:00,"Klapa V.","Kopecny M.",3,2,5,11,11,6,9,11,13,11,11,7,1
2022-07-05 20:00:00,"Kutifel J.","Brozik K.",3,1,11,6,5,11,11,6,11,8,NA,NA,1
2022-07-05 20:00:00,"Pycha P.","Kliuchuk R.",0,3,12,14,10,12,7,11,NA,NA,NA,NA,0
2022-07-05 20:30:00,"Biolek M.","Kratochvil M.",3,0,11,8,11,7,11,7,NA,NA,NA,NA,1
2022-07-05 20:30:00,"Jindrak L.","Skokan V.",3,0,11,6,12,10,11,6,NA,NA,NA,NA,1
2022-07-05 20:30:00,"Urban M.","Korp Jr. P.",3,1,11,6,11,7,10,12,11,7,NA,NA,1
2022-07-05 20:40:00,"Nevrtal Z.","Pelikan L.",1,3,8,11,6,11,11,6,5,11,NA,NA,0
2022-07-05 21:00:00,"Benesz R.","Vavrecka M.",3,1,11,1,8,11,11,3,11,7,NA,NA,1
2022-07-05 21:00:00,"Drechsler M.","Hisler P.",3,1,11,7,11,6,6,11,13,11,NA,NA,1
2022-07-05 21:00:00,"Kolenic T.","Potensky J.",3,2,11,6,11,1,13,15,8,11,11,9,1
2022-07-05 21:00:00,"Mastera M.","Sokol M.",3,1,11,7,9,11,11,6,11,6,NA,NA,1
2022-07-05 21:30:00,"Kucirek O.","Moravek J.",3,0,11,8,11,7,11,9,NA,NA,NA,NA,1
2022-07-05 21:30:00,"Stach J.","Lotrek K.",3,2,6,11,12,10,11,5,10,12,11,6,1
2022-07-05 21:30:00,"Stolfa J.","Leopold M.",1,3,11,4,5,11,8,11,8,11,NA,NA,0
2022-07-05 21:30:00,"Volhejn J.","Zivny P.",2,3,8,11,11,7,10,12,11,7,9,11,0
2022-07-05 22:00:00,"Hisler P.","Kucirek O.",2,3,5,11,11,8,11,8,6,11,10,12,0
2022-07-05 22:00:00,"Potensky J.","Stolfa J.",0,3,7,11,6,11,8,11,NA,NA,NA,NA,0
2022-07-05 22:00:00,"Sokol M.","Volhejn J.",3,2,5,11,11,9,5,11,11,5,12,10,1
2022-07-05 22:00:00,"Vavrecka M.","Stach J.",3,1,9,11,11,9,14,12,11,4,NA,NA,1
2022-07-05 22:30:00,"Leopold M.","Kolenic T.",3,1,12,10,11,9,6,11,11,6,NA,NA,1
2022-07-05 22:30:00,"Lotrek K.","Benesz R.",0,3,9,11,8,11,4,11,NA,NA,NA,NA,0
2022-07-05 22:30:00,"Moravek J.","Drechsler M.",0,3,7,11,7,11,6,11,NA,NA,NA,NA,0
2022-07-05 22:35:00,"Zivny P.","Mastera M.",0,3,5,11,3,11,7,11,NA,NA,NA,NA,0
2022-07-05 23:00:00,"Benesz R.","Stach J.",3,0,11,9,11,9,11,8,NA,NA,NA,NA,1
2022-07-05 23:00:00,"Drechsler M.","Kucirek O.",3,1,11,6,9,11,11,3,11,4,NA,NA,1
2022-07-05 23:00:00,"Kolenic T.","Stolfa J.",0,3,7,11,6,11,9,11,NA,NA,NA,NA,0
2022-07-05 23:00:00,"Mastera M.","Volhejn J.",3,0,11,2,11,2,11,4,NA,NA,NA,NA,1
2022-07-05 23:30:00,"Hisler P.","Moravek J.",1,3,7,11,9,11,11,3,9,11,NA,NA,0
2022-07-05 23:30:00,"Potensky J.","Leopold M.",2,3,5,11,8,11,11,7,11,9,5,11,0
2022-07-05 23:30:00,"Sokol M.","Zivny P.",2,3,9,11,11,8,11,5,6,11,4,11,0
2022-07-05 23:30:00,"Vavrecka M.","Lotrek K.",3,0,11,8,11,9,11,7,NA,NA,NA,NA,1
2022-07-06 00:05:00,"Moravek J.","Hisler P.",1,3,8,11,11,6,6,11,8,11,NA,NA,0
2022-07-06 00:05:00,"Stach J.","Lotrek K.",3,1,11,7,11,8,7,11,11,7,NA,NA,1
2022-07-06 00:15:00,"Kolenic T.","Potensky J.",3,1,8,11,11,9,11,9,11,6,NA,NA,1
2022-07-06 00:15:00,"Sokol M.","Volhejn J.",3,0,11,9,11,8,11,5,NA,NA,NA,NA,1
2022-07-06 00:30:00,"Benesz R.","Vavrecka M.",2,3,11,8,7,11,7,11,12,10,10,12,0
2022-07-06 00:30:00,"Drechsler M.","Kucirek O.",3,2,11,13,11,6,11,5,10,12,12,10,1
2022-07-06 00:30:00,"Leopold M.","Stolfa J.",1,3,11,7,11,13,6,11,6,11,NA,NA,0
2022-07-06 00:30:00,"Mastera M.","Zivny P.",3,0,11,5,11,9,11,9,NA,NA,NA,NA,1
2022-07-06 01:00:00,"Sklenar M.","Hofman D.",3,1,14,12,9,11,11,2,11,8,NA,NA,1
2022-07-06 01:00:00,"Svedik M.","Prokupek J.",1,3,9,11,11,8,9,11,7,11,NA,NA,0
2022-07-06 01:30:00,"Pavelka R.","Hampejs V.",2,3,5,11,12,10,9,11,11,5,2,11,0
2022-07-06 01:30:00,"Rose R.","Pusch F.",3,2,9,11,11,9,7,11,11,6,12,10,1
2022-07-06 02:00:00,"Hofman D.","Klimenta M.",0,3,7,11,12,14,8,11,NA,NA,NA,NA,0
